Control,baub-runr-2012,baub-runr-2013,baub-runr-2014,baub-runr-2015,baub-runr-2016,baub-runr-2017,baub-runr-2018,baub-runr-2019,baub-runr-2020,baub-runr-2021,baub-runr-2022,baub-runr-2023,baub-runr-2024,baub-runr-2025,baub-runr-2026,baub-runr-2027,baub-runr-2028,baub-runr-2029,baub-runr-2030,baub-runr-2031
Deviation,baub-runr-ag1p-2012,baub-runr-ag1p-2013,baub-runr-ag1p-2014,baub-runr-ag1p-2015,baub-runr-ag1p-2016,baub-runr-ag1p-2017,baub-runr-ag1p-2018,baub-runr-ag1p-2019,baub-runr-ag1p-2020,baub-runr-ag1p-2021,baub-runr-ag1p-2022,baub-runr-ag1p-2023,baub-runr-ag1p-2024,baub-runr-ag1p-2025,baub-runr-ag1p-2026,baub-runr-ag1p-2027,baub-runr-ag1p-2028,baub-runr-ag1p-2029,baub-runr-ag1p-2030,baub-runr-ag1p-2031
walraslack,0,0,0,0,0,0,0,0,0,0,-6.53E-07,6.81E-07,2.08E-06,2.81E-06,3.01E-06,4.06E-06,6.02E-06,7.68E-06,8.50E-06,9.06E-06
gnp_r(AUS),0,0,0,0,0,0,0,0,0,0,-1.10E-03,1.72E-03,2.57E-03,2.81E-03,2.93E-03,2.97E-03,3.09E-03,3.08E-03,2.92E-03,2.95E-03
gnp_r(SYD),0,0,0,0,0,0,0,0,0,0,1.49E-02,1.91E-02,2.04E-02,2.09E-02,2.11E-02,2.13E-02,2.10E-02,2.04E-02,1.99E-02,1.94E-02
gnp_r(RON),0,0,0,0,0,0,0,0,0,0,-4.59E-04,1.24E-03,1.51E-03,1.46E-03,1.42E-03,1.39E-03,1.45E-03,1.44E-03,1.38E-03,1.44E-03
gnp_r(ROA),0,0,0,0,0,0,0,0,0,0,-6.04E-03,-3.39E-03,-2.58E-03,-2.38E-03,-2.23E-03,-2.21E-03,-1.94E-03,-1.72E-03,-1.78E-03,-1.60E-03
gnp_r(NZ),0,0,0,0,0,0,0,0,0,0,-9.81E-05,-3.82E-04,-4.31E-04,-4.22E-04,-4.02E-04,-3.82E-04,-3.72E-04,-3.43E-04,-3.14E-04,-2.94E-04
gnp_r(CHN),0,0,0,0,0,0,0,0,0,0,1.46E-04,-3.91E-05,-8.79E-05,-8.79E-05,-8.79E-05,-8.79E-05,-9.74E-05,-9.74E-05,-7.81E-05,-7.81E-05
gnp_r(IND),0,0,0,0,0,0,0,0,0,0,2.95E-05,9.82E-06,-2.94E-09,-2.94E-09,-2.94E-09,-9.83E-06,-9.83E-06,-9.83E-06,-9.83E-06,-9.83E-06
gnp_r(ROW),0,0,0,0,0,0,0,0,0,0,9.83E-06,-9.83E-06,-9.83E-06,-9.83E-06,-1.96E-05,-1.96E-05,-1.96E-05,-1.96E-05,-9.83E-06,-9.83E-06
gdp_r(AUS),0,0,0,0,0,0,0,0,0,0,-8.14E-04,5.49E-04,1.24E-03,1.62E-03,1.90E-03,2.09E-03,2.29E-03,2.41E-03,2.41E-03,2.48E-03
gdp_r(SYD),0,0,0,0,0,0,0,0,0,0,5.93E-03,8.70E-03,1.03E-02,1.14E-02,1.22E-02,1.28E-02,1.30E-02,1.30E-02,1.30E-02,1.28E-02
gdp_r(RON),0,0,0,0,0,0,0,0,0,0,3.93E-05,1.33E-03,2.15E-03,2.67E-03,3.03E-03,3.28E-03,3.49E-03,3.60E-03,3.62E-03,3.66E-03
gdp_r(ROA),0,0,0,0,0,0,0,0,0,0,-2.94E-03,-1.98E-03,-1.59E-03,-1.43E-03,-1.30E-03,-1.26E-03,-1.08E-03,-9.32E-04,-9.32E-04,-8.04E-04
gdp_r(NZ),0,0,0,0,0,0,0,0,0,0,-2.95E-05,-1.18E-04,-1.57E-04,-1.67E-04,-1.67E-04,-1.67E-04,-1.67E-04,-1.57E-04,-1.37E-04,-1.28E-04
gdp_r(CHN),0,0,0,0,0,0,0,0,0,0,7.85E-05,1.98E-05,-9.70E-06,-1.95E-05,-2.93E-05,-2.93E-05,-2.93E-05,-2.93E-05,-1.95E-05,-1.95E-05
gdp_r(IND),0,0,0,0,0,0,0,0,0,0,1.96E-05,2.95E-05,2.95E-05,2.95E-05,2.95E-05,2.95E-05,2.95E-05,2.95E-05,2.95E-05,2.95E-05
gdp_r(ROW),0,0,0,0,0,0,0,0,0,0,9.82E-06,-9.66E-13,-9.82E-06,-9.82E-06,-9.82E-06,-9.82E-06,-9.82E-06,-9.82E-06,-9.82E-06,-9.82E-06
gnp_nom(SYD),0,0,0,0,0,0,0,0,0,0,3.55E-02,3.52E-02,3.48E-02,3.47E-02,3.42E-02,3.42E-02,3.30E-02,3.13E-02,3.06E-02,2.94E-02
gnp_nom(RON),0,0,0,0,0,0,0,0,0,0,1.04E-02,7.01E-03,5.37E-03,4.60E-03,4.07E-03,3.88E-03,3.41E-03,2.98E-03,3.02E-03,2.82E-03
gnp_nom(ROA),0,0,0,0,0,0,0,0,0,0,-1.61E-02,-1.10E-02,-9.14E-03,-8.53E-03,-8.03E-03,-7.87E-03,-7.13E-03,-6.45E-03,-6.41E-03,-5.90E-03
gnp_nom(NZ),0,0,0,0,0,0,0,0,0,0,-9.81E-05,-4.51E-04,-5.10E-04,-5.00E-04,-4.80E-04,-4.61E-04,-4.51E-04,-4.22E-04,-3.82E-04,-3.63E-04
gnp_nom(CHN),0,0,0,0,0,0,0,0,0,0,1.27E-04,-1.15E-08,-2.93E-05,-2.93E-05,-2.93E-05,-2.93E-05,-3.91E-05,-3.91E-05,-2.93E-05,-2.93E-05
gnp_nom(IND),0,0,0,0,0,0,0,0,0,0,1.96E-05,1.96E-05,9.81E-06,-4.43E-09,-4.43E-09,-4.43E-09,-4.43E-09,-9.83E-06,-1.97E-05,-1.97E-05
gnp_nom(ROW),0,0,0,0,0,0,0,0,0,0,9.83E-06,-1.97E-05,-2.95E-05,-2.95E-05,-2.95E-05,-2.95E-05,-2.95E-05,-2.95E-05,-2.95E-05,-3.93E-05
gdp_nom(AUS),0,0,0,0,0,0,0,0,0,0,-2.43E-03,4.79E-04,1.49E-03,1.85E-03,2.07E-03,2.17E-03,2.38E-03,2.45E-03,2.32E-03,2.38E-03
gdp_nom(SYD),0,0,0,0,0,0,0,0,0,0,3.65E-02,3.67E-02,3.66E-02,3.67E-02,3.64E-02,3.64E-02,3.51E-02,3.34E-02,3.26E-02,3.13E-02
gdp_nom(RON),0,0,0,0,0,0,0,0,0,0,1.08E-02,7.88E-03,6.44E-03,5.76E-03,5.28E-03,5.14E-03,4.66E-03,4.21E-03,4.22E-03,4.02E-03
gdp_nom(ROA),0,0,0,0,0,0,0,0,0,0,-1.61E-02,-1.14E-02,-9.57E-03,-8.91E-03,-8.36E-03,-8.17E-03,-7.39E-03,-6.67E-03,-6.59E-03,-6.07E-03
gdp_nom(NZ),0,0,0,0,0,0,0,0,0,0,-1.08E-04,-4.41E-04,-5.10E-04,-5.00E-04,-4.81E-04,-4.61E-04,-4.51E-04,-4.12E-04,-3.73E-04,-3.53E-04
gdp_nom(CHN),0,0,0,0,0,0,0,0,0,0,1.37E-04,9.70E-06,-2.95E-05,-3.93E-05,-4.91E-05,-3.94E-05,-4.91E-05,-4.91E-05,-3.93E-05,-3.93E-05
gdp_nom(IND),0,0,0,0,0,0,0,0,0,0,2.94E-05,2.94E-05,2.94E-05,2.94E-05,2.94E-05,2.94E-05,1.95E-05,1.95E-05,1.95E-05,9.70E-06
gdp_nom(ROW),0,0,0,0,0,0,0,0,0,0,1.96E-05,-9.82E-06,-1.96E-05,-2.95E-05,-3.93E-05,-3.93E-05,-3.93E-05,-3.93E-05,-2.95E-05,-2.95E-05
empl(AUS),0,0,0,0,0,0,0,0,0,0,-7.75E-04,9.61E-04,1.45E-03,1.57E-03,1.63E-03,1.64E-03,1.72E-03,1.72E-03,1.62E-03,1.65E-03
empl(SYD),0,0,0,0,0,0,0,0,0,0,6.37E-03,8.26E-03,8.93E-03,9.25E-03,9.40E-03,9.54E-03,9.46E-03,9.17E-03,8.99E-03,8.80E-03
empl(RON),0,0,0,0,0,0,0,0,0,0,-1.28E-03,-6.17E-04,-5.10E-04,-5.29E-04,-5.39E-04,-5.49E-04,-4.90E-04,-4.51E-04,-4.51E-04,-3.82E-04
empl(ROA),0,0,0,0,0,0,0,0,0,0,-3.00E-03,-1.15E-03,-6.37E-04,-5.59E-04,-5.20E-04,-5.39E-04,-4.12E-04,-3.33E-04,-4.12E-04,-3.14E-04
empl(NZ),0,0,0,0,0,0,0,0,0,0,-6.87E-05,-2.45E-04,-2.75E-04,-2.75E-04,-2.65E-04,-2.45E-04,-2.35E-04,-2.26E-04,-2.06E-04,-1.96E-04
empl(CHN),0,0,0,0,0,0,0,0,0,0,8.83E-05,-1.96E-05,-4.90E-05,-4.90E-05,-4.90E-05,-4.90E-05,-4.90E-05,-4.90E-05,-4.90E-05,-4.90E-05
empl(IND),0,0,0,0,0,0,0,0,0,0,1.97E-05,9.83E-06,9.83E-06,9.83E-06,9.83E-06,9.83E-06,9.83E-06,9.83E-06,9.83E-06,9.83E-06
empl(ROW),0,0,0,0,0,0,0,0,0,0,9.82E-06,-9.83E-06,-1.97E-05,-2.95E-05,-2.95E-05,-2.95E-05,-2.95E-05,-3.93E-05,-2.95E-05,-2.95E-05
labsup(AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
labsup(SYD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
labsup(RON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
labsup(ROA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
labsup(NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
labsup(CHN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
labsup(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
labsup(ROW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcons(AUS),0,0,0,0,0,0,0,0,0,0,-1.70E-03,1.23E-03,2.15E-03,2.43E-03,2.61E-03,2.67E-03,2.83E-03,2.85E-03,2.70E-03,2.75E-03
qcons(SYD),0,0,0,0,0,0,0,0,0,0,1.27E-02,1.66E-02,1.80E-02,1.87E-02,1.90E-02,1.93E-02,1.92E-02,1.86E-02,1.83E-02,1.79E-02
qcons(RON),0,0,0,0,0,0,0,0,0,0,-2.69E-03,-1.40E-03,-1.01E-03,-8.78E-04,-7.41E-04,-6.44E-04,-4.39E-04,-2.73E-04,-2.14E-04,-4.83E-05
qcons(ROA),0,0,0,0,0,0,0,0,0,0,-6.26E-03,-3.32E-03,-2.44E-03,-2.23E-03,-2.09E-03,-2.09E-03,-1.81E-03,-1.61E-03,-1.68E-03,-1.49E-03
qcons(NZ),0,0,0,0,0,0,0,0,0,0,-9.81E-05,-4.41E-04,-5.00E-04,-4.90E-04,-4.71E-04,-4.51E-04,-4.41E-04,-4.12E-04,-3.72E-04,-3.53E-04
qcons(CHN),0,0,0,0,0,0,0,0,0,0,1.27E-04,-1.15E-08,-3.88E-05,-4.86E-05,-5.84E-05,-5.84E-05,-6.81E-05,-7.79E-05,-6.81E-05,-6.81E-05
qcons(IND),0,0,0,0,0,0,0,0,0,0,1.96E-05,1.96E-05,9.81E-06,-4.43E-09,-4.43E-09,-4.43E-09,-4.43E-09,-9.83E-06,-1.97E-05,-1.97E-05
qcons(ROW),0,0,0,0,0,0,0,0,0,0,9.83E-06,-1.97E-05,-2.95E-05,-2.95E-05,-2.95E-05,-2.95E-05,-2.95E-05,-2.95E-05,-2.95E-05,-3.93E-05
qgov(AUS),0,0,0,0,0,0,0,0,0,0,-1.75E-03,-9.78E-05,4.98E-04,7.33E-04,8.89E-04,9.67E-04,1.11E-03,1.19E-03,1.15E-03,1.21E-03
qgov(SYD),0,0,0,0,0,0,0,0,0,0,8.75E-03,1.13E-02,1.24E-02,1.30E-02,1.33E-02,1.36E-02,1.36E-02,1.34E-02,1.32E-02,1.30E-02
qgov(RON),0,0,0,0,0,0,0,0,0,0,-1.24E-03,-7.99E-04,-5.85E-04,-4.48E-04,-3.22E-04,-2.24E-04,-8.74E-05,2.99E-05,9.83E-05,1.86E-04
qgov(ROA),0,0,0,0,0,0,0,0,0,0,-4.58E-03,-2.99E-03,-2.46E-03,-2.31E-03,-2.18E-03,-2.14E-03,-1.94E-03,-1.75E-03,-1.75E-03,-1.60E-03
qgov(NZ),0,0,0,0,0,0,0,0,0,0,-8.82E-05,-3.43E-04,-3.91E-04,-3.91E-04,-3.72E-04,-3.62E-04,-3.52E-04,-3.23E-04,-2.94E-04,-2.84E-04
qgov(CHN),0,0,0,0,0,0,0,0,0,0,8.75E-05,-2.31E-07,-1.97E-05,-1.97E-05,-1.97E-05,-1.97E-05,-1.97E-05,-1.97E-05,-1.97E-05,-1.97E-05
qgov(IND),0,0,0,0,0,0,0,0,0,0,1.96E-05,1.96E-05,9.80E-06,9.80E-06,9.80E-06,9.80E-06,9.80E-06,9.80E-06,9.80E-06,9.80E-06
qgov(ROW),0,0,0,0,0,0,0,0,0,0,9.81E-06,-9.81E-06,-1.96E-05,-2.94E-05,-2.94E-05,-2.94E-05,-2.94E-05,-2.94E-05,-2.94E-05,-2.94E-05
exports(AUS),0,0,0,0,0,0,0,0,0,0,2.80E-02,6.23E-03,3.19E-03,4.94E-03,6.61E-03,8.46E-03,8.51E-03,8.97E-03,1.05E-02,1.01E-02
exports(SYD),0,0,0,0,0,0,0,0,0,0,0.115658,0.102797,0.111859,0.125204,0.135318,0.144567,0.147161,0.147836,0.150851,0.148901
exports(RON),0,0,0,0,0,0,0,0,0,0,-3.85E-02,-5.09E-02,-5.12E-02,-4.94E-02,-4.75E-02,-4.64E-02,-4.47E-02,-4.22E-02,-4.05E-02,-3.94E-02
exports(ROA),0,0,0,0,0,0,0,0,0,0,2.10E-02,-3.05E-03,-8.15E-03,-8.08E-03,-7.61E-03,-6.67E-03,-7.04E-03,-6.72E-03,-5.26E-03,-5.52E-03
exports(NZ),0,0,0,0,0,0,0,0,0,0,-4.23E-04,-8.56E-04,-9.74E-04,-1.01E-03,-1.01E-03,-1.00E-03,-9.83E-04,-9.44E-04,-8.85E-04,-8.46E-04
exports(CHN),0,0,0,0,0,0,0,0,0,0,-4.93E-04,1.78E-04,2.37E-04,1.48E-04,6.92E-05,1.26E-07,-9.75E-06,-2.94E-05,-7.86E-05,-5.89E-05
exports(IND),0,0,0,0,0,0,0,0,0,0,-2.16E-04,-4.89E-05,-1.94E-05,-1.94E-05,-2.92E-05,-3.91E-05,-3.91E-05,-3.91E-05,-4.88E-05,-4.88E-05
exports(ROW),0,0,0,0,0,0,0,0,0,0,-3.04E-04,-9.81E-06,2.94E-05,9.72E-06,-9.94E-06,-3.93E-05,-4.90E-05,-5.89E-05,-7.85E-05,-7.85E-05
imports(AUS),0,0,0,0,0,0,0,0,0,0,-4.02E-03,1.50E-02,1.84E-02,1.78E-02,1.68E-02,1.57E-02,1.54E-02,1.44E-02,1.28E-02,1.26E-02
imports(SYD),0,0,0,0,0,0,0,0,0,0,4.84E-02,5.77E-02,5.72E-02,5.51E-02,5.27E-02,5.10E-02,4.84E-02,4.50E-02,4.27E-02,4.08E-02
imports(RON),0,0,0,0,0,0,0,0,0,0,1.86E-02,2.59E-02,2.45E-02,2.19E-02,1.96E-02,1.81E-02,1.67E-02,1.48E-02,1.35E-02,1.30E-02
imports(ROA),0,0,0,0,0,0,0,0,0,0,-2.42E-02,-4.00E-05,5.40E-03,5.55E-03,5.27E-03,4.42E-03,5.09E-03,5.00E-03,3.50E-03,3.98E-03
imports(NZ),0,0,0,0,0,0,0,0,0,0,-4.71E-04,-2.19E-03,-2.39E-03,-2.23E-03,-2.05E-03,-1.88E-03,-1.77E-03,-1.58E-03,-1.38E-03,-1.30E-03
imports(CHN),0,0,0,0,0,0,0,0,0,0,4.52E-04,-1.67E-04,-2.75E-04,-2.45E-04,-2.16E-04,-1.77E-04,-1.77E-04,-1.67E-04,-1.27E-04,-1.27E-04
imports(IND),0,0,0,0,0,0,0,0,0,0,1.58E-04,-3.95E-05,-7.90E-05,-7.90E-05,-6.91E-05,-6.42E-05,-6.91E-05,-6.61E-05,-5.53E-05,-5.53E-05
imports(ROW),0,0,0,0,0,0,0,0,0,0,7.86E-05,-7.87E-05,-1.18E-04,-1.18E-04,-1.18E-04,-1.08E-04,-1.18E-04,-1.08E-04,-9.82E-05,-1.08E-04
phi(SYD),0,0,0,0,0,0,0,0,0,0,-7.68E-04,-1.00E-02,-1.15E-02,-1.10E-02,-1.04E-02,-9.74E-03,-9.44E-03,-8.75E-03,-7.83E-03,-7.64E-03
phi(RON),0,0,0,0,0,0,0,0,0,0,-7.68E-04,-1.00E-02,-1.15E-02,-1.10E-02,-1.04E-02,-9.74E-03,-9.44E-03,-8.75E-03,-7.83E-03,-7.64E-03
phi(ROA),0,0,0,0,0,0,0,0,0,0,-7.68E-04,-1.00E-02,-1.15E-02,-1.10E-02,-1.04E-02,-9.74E-03,-9.44E-03,-8.75E-03,-7.83E-03,-7.64E-03
phi(NZ),0,0,0,0,0,0,0,0,0,0,-7.99E-06,-8.93E-04,-1.06E-03,-1.04E-03,-1.00E-03,-9.51E-04,-9.34E-04,-8.76E-04,-7.90E-04,-7.74E-04
phi(CHN),0,0,0,0,0,0,0,0,0,0,-1.33E-04,1.61E-04,2.05E-04,1.87E-04,1.68E-04,1.49E-04,1.45E-04,1.34E-04,1.12E-04,1.14E-04
phi(IND),0,0,0,0,0,0,0,0,0,0,-5.77E-05,1.16E-04,1.49E-04,1.47E-04,1.42E-04,1.36E-04,1.37E-04,1.31E-04,1.19E-04,1.16E-04
phi(ROW),0,0,0,0,0,0,0,0,0,0,-2.20E-05,1.67E-04,2.03E-04,1.99E-04,1.90E-04,1.80E-04,1.77E-04,1.65E-04,1.48E-04,1.45E-04
tot(AUS),0,0,0,0,0,0,0,0,0,0,-1.53E-03,4.33E-03,5.30E-03,5.00E-03,4.59E-03,4.12E-03,3.88E-03,3.43E-03,2.79E-03,2.56E-03
tot(SYD),0,0,0,0,0,0,0,0,0,0,2.07E-02,2.48E-02,2.41E-02,2.25E-02,2.07E-02,1.92E-02,1.72E-02,1.48E-02,1.29E-02,1.13E-02
tot(RON),0,0,0,0,0,0,0,0,0,0,5.62E-03,8.67E-03,8.95E-03,8.79E-03,8.72E-03,8.82E-03,8.96E-03,8.98E-03,9.11E-03,9.45E-03
tot(ROA),0,0,0,0,0,0,0,0,0,0,-5.76E-03,7.88E-04,2.23E-03,2.28E-03,2.23E-03,2.05E-03,2.22E-03,2.21E-03,1.89E-03,2.02E-03
tot(NZ),0,0,0,0,0,0,0,0,0,0,-2.45E-04,-9.80E-04,-1.06E-03,-9.92E-04,-9.14E-04,-8.41E-04,-7.91E-04,-7.15E-04,-6.33E-04,-6.02E-04
tot(CHN),0,0,0,0,0,0,0,0,0,0,2.23E-04,-1.34E-04,-1.93E-04,-1.75E-04,-1.55E-04,-1.33E-04,-1.30E-04,-1.18E-04,-9.33E-05,-9.42E-05
tot(IND),0,0,0,0,0,0,0,0,0,0,2.22E-05,-3.84E-05,-5.86E-05,-5.86E-05,-5.86E-05,-5.86E-05,-5.86E-05,-5.86E-05,-4.85E-05,-4.85E-05
tot(ROW),0,0,0,0,0,0,0,0,0,0,-3.90E-06,-5.60E-05,-6.61E-05,-6.49E-05,-6.22E-05,-5.87E-05,-5.66E-05,-5.22E-05,-4.65E-05,-4.44E-05
cpi(AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpi(SYD),0,0,0,0,0,0,0,0,0,0,2.28E-02,1.86E-02,1.68E-02,1.60E-02,1.52E-02,1.49E-02,1.38E-02,1.27E-02,1.23E-02,1.15E-02
cpi(RON),0,0,0,0,0,0,0,0,0,0,1.31E-02,8.40E-03,6.36E-03,5.46E-03,4.80E-03,4.53E-03,3.84E-03,3.25E-03,3.23E-03,2.88E-03
cpi(ROA),0,0,0,0,0,0,0,0,0,0,-9.88E-03,-7.67E-03,-6.70E-03,-6.29E-03,-5.93E-03,-5.78E-03,-5.31E-03,-4.83E-03,-4.71E-03,-4.39E-03
cpi(NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpi(CHN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpi(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpi(ROW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pgnp(SYD),0,0,0,0,0,0,0,0,0,0,2.06E-02,1.61E-02,1.44E-02,1.37E-02,1.31E-02,1.29E-02,1.19E-02,1.09E-02,1.07E-02,9.96E-03
pgnp(RON),0,0,0,0,0,0,0,0,0,0,1.08E-02,5.77E-03,3.85E-03,3.13E-03,2.64E-03,2.48E-03,1.94E-03,1.54E-03,1.64E-03,1.39E-03
pgnp(ROA),0,0,0,0,0,0,0,0,0,0,-1.01E-02,-7.59E-03,-6.57E-03,-6.16E-03,-5.81E-03,-5.67E-03,-5.19E-03,-4.72E-03,-4.62E-03,-4.29E-03
pgnp(NZ),0,0,0,0,0,0,0,0,0,0,-5.18E-07,-6.41E-05,-7.60E-05,-7.42E-05,-7.12E-05,-6.74E-05,-6.59E-05,-6.17E-05,-5.56E-05,-5.42E-05
pgnp(CHN),0,0,0,0,0,0,0,0,0,0,-2.56E-05,3.98E-05,4.99E-05,4.61E-05,4.18E-05,3.75E-05,3.65E-05,3.39E-05,2.89E-05,2.94E-05
pgnp(IND),0,0,0,0,0,0,0,0,0,0,-2.99E-06,1.60E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,1.90E-05,1.70E-05,1.70E-05
pgnp(ROW),0,0,0,0,0,0,0,0,0,0,8.40E-06,-2.31E-06,-4.36E-06,-4.07E-06,-3.63E-06,-2.97E-06,-3.12E-06,-2.81E-06,-1.92E-06,-2.11E-06
pgdp(SYD),0,0,0,0,0,0,0,0,0,0,3.05E-02,2.80E-02,2.63E-02,2.53E-02,2.42E-02,2.36E-02,2.21E-02,2.04E-02,1.96E-02,1.85E-02
pgdp(RON),0,0,0,0,0,0,0,0,0,0,1.07E-02,6.55E-03,4.29E-03,3.10E-03,2.26E-03,1.86E-03,1.19E-03,6.29E-04,6.05E-04,3.57E-04
pgdp(ROA),0,0,0,0,0,0,0,0,0,0,-1.32E-02,-9.39E-03,-7.98E-03,-7.48E-03,-7.06E-03,-6.92E-03,-6.32E-03,-5.74E-03,-5.66E-03,-5.25E-03
pgdp(NZ),0,0,0,0,0,0,0,0,0,0,-6.75E-05,-3.13E-04,-3.44E-04,-3.23E-04,-2.98E-04,-2.75E-04,-2.60E-04,-2.35E-04,-2.08E-04,-1.98E-04
pgdp(CHN),0,0,0,0,0,0,0,0,0,0,4.95E-05,-2.59E-05,-3.74E-05,-3.26E-05,-2.74E-05,-2.16E-05,-2.05E-05,-1.75E-05,-1.15E-05,-1.15E-05
pgdp(IND),0,0,0,0,0,0,0,0,0,0,4.02E-06,-2.99E-06,-3.99E-06,-3.99E-06,-4.99E-06,-4.99E-06,-4.99E-06,-4.99E-06,-4.99E-06,-4.99E-06
pgdp(ROW),0,0,0,0,0,0,0,0,0,0,6.16E-06,-1.45E-05,-1.84E-05,-1.79E-05,-1.70E-05,-1.57E-05,-1.53E-05,-1.42E-05,-1.22E-05,-1.20E-05
rorc(AUS),0,0,0,0,0,0,0,0,0,0,4.97E-03,9.12E-03,8.83E-03,7.71E-03,6.70E-03,5.92E-03,5.31E-03,4.53E-03,3.86E-03,3.62E-03
